#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2014-09-01 00:57:00
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra140831.ibl 13946 USER-1A7617C508 132273000 2014-08-31 00:32:49 106.120.121.156 112.121.182.140 80 GET HTTP/1.1 200 0 234 10432 43 64 / - -
d:\iislog\W3SVC\ra140831.ibl 91184 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 93 4870 279 0 /install/index.php - -
d:\iislog\W3SVC\ra140831.ibl 91185 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 5000 308 0 /install/style.css - -
d:\iislog\W3SVC\ra140831.ibl 91186 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 653 359 0 /install/images/ico-step-now.png - -
d:\iislog\W3SVC\ra140831.ibl 91187 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 570 358 0 /install/images/boxtitle_bg.gif - -
d:\iislog\W3SVC\ra140831.ibl 91188 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 879 358 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 91189 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 736 358 0 /install/images/leftbox-tbg.png - -
d:\iislog\W3SVC\ra140831.ibl 91190 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1827 355 0 /install/images/but_next.gif - -
d:\iislog\W3SVC\ra140831.ibl 91191 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 17110 355 0 /install/images/top-logo.png - -
d:\iislog\W3SVC\ra140831.ibl 91192 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 281 2713 311 0 /install/tablebox.css - -
d:\iislog\W3SVC\ra140831.ibl 91195 USER-1A7617C508 132273000 2014-08-31 02:50:22 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 560 353 0 /install/images/top-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 91205 USER-1A7617C508 132273000 2014-08-31 02:50:23 119.147.146.189 112.121.182.140 80 GET HTTP/1.1 200 0 31 4870 467 0 /install/index.php - -
d:\iislog\W3SVC\ra140831.ibl 91234 USER-1A7617C508 132273000 2014-08-31 02:50:25 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 5333 339 0 /install/index.php step=2 -
d:\iislog\W3SVC\ra140831.ibl 91236 USER-1A7617C508 132273000 2014-08-31 02:50:25 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 655 370 0 /install/images/ico-step-succeed.png - -
d:\iislog\W3SVC\ra140831.ibl 91237 USER-1A7617C508 132273000 2014-08-31 02:50:25 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 1705 362 0 /install/images/but_back.gif - -
d:\iislog\W3SVC\ra140831.ibl 91244 USER-1A7617C508 132273000 2014-08-31 02:50:27 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 10771 346 0 /install/index.php step=3 -
d:\iislog\W3SVC\ra140831.ibl 91246 USER-1A7617C508 132273000 2014-08-31 02:50:27 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 8292 338 0 /include/dedeajax2.js - -
d:\iislog\W3SVC\ra140831.ibl 91247 USER-1A7617C508 132273000 2014-08-31 02:50:28 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 3722 362 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 91579 USER-1A7617C508 132273000 2014-08-31 02:51:05 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 847 424 0 /install/index.php step=10&dbhost=localhost&dbuser=a0829193053&dbpwd=&dbname=a0829193053 -
d:\iislog\W3SVC\ra140831.ibl 91641 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 10773 371 0 /install/index.php step=3 -
d:\iislog\W3SVC\ra140831.ibl 91642 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 8292 363 0 /include/dedeajax2.js - -
d:\iislog\W3SVC\ra140831.ibl 91643 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 5000 340 0 /install/style.css - -
d:\iislog\W3SVC\ra140831.ibl 91644 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 2713 343 0 /install/tablebox.css - -
d:\iislog\W3SVC\ra140831.ibl 91646 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 560 385 0 /install/images/top-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 91647 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 570 390 0 /install/images/boxtitle_bg.gif - -
d:\iislog\W3SVC\ra140831.ibl 91648 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1705 387 0 /install/images/but_back.gif - -
